"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","154","POST searchProduct → 405","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","120","POST verifyLoginWithouyEmail","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","8168","RF-03: Añadir producto al carrito desde el listado","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0 > Tests con sesión","web/P0.spec.ts","",""
"","7254","RF-09: Review a un producto","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P2","web/P2.spec.ts","",""
"","423","POST createAccountValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","128","POST verifyLoginInvalidCredencials","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","124","GET userDetailValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","113","POST productosList → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","12375","RF-04: Checkout exitoso","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0 > Tests con sesión","web/P0.spec.ts","",""
"","116","POST verifyLoginValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","118","GET brandsList → 200","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","169","PUT updateAccountUserNotExists → 404","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","154","POST createAccountEmptyBody → 400","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","139","PUT brandsList → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","223","GET products → 200","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","121","POST createAccountMissingFields","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","134","DELETE validAccount","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","6520","RF-02: Login válido y persistencia","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0","web/P0.spec.ts","",""
"","161","GET emailNotExists","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","136","DELETE verifyLogin → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","18530","RF-07: Eliminar producto del carrito","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","12750","RF-05: Modificar cantidad de producto y validar total","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","129","DELETE accountWithWrongCredencials","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","7055","RF-06: Búsqueda de productos","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","8403","RF-08: Validaciones de formulario en login/registro","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1","web/P1.spec.ts","",""
"","9920","RF-10: Envío de formulario contáctanos","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P2","web/P2.spec.ts","",""
"","133","POST searchValidProduct","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","16454","RF-01: Registro de usuario válido","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0","web/P0.spec.ts","",""
"","164","GET addProductToCart","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
