"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16224","RF-01: Registro de usuario válido","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0","web/P0.spec.ts","",""
"","6617","RF-02: Login válido y persistencia","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0","web/P0.spec.ts","",""
"","108","DELETE accountWithWrongCredencials","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","8088","RF-03: Añadir producto al carrito desde el listado","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0 > Tests con sesión","web/P0.spec.ts","",""
"","129","GET addProductToCart","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","106","POST createAccountEmptyBody → 400","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","112","POST productosList → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","111","PUT updateAccountUserNotExists → 404","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","135","GET userDetailValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","163","GET products → 200","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","9747","RF-10: Envío de formulario contáctanos","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P2","web/P2.spec.ts","",""
"","6720","RF-06: Búsqueda de productos","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","119","POST createAccountMissingFields","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","513","POST createAccountValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","114","POST verifyLoginInvalidCredencials","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","121","GET brandsList → 200","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","113","POST searchProduct → 405","API-Automation","2025-12-15","passed","2025-12-15","","P2 — API","",""
"","12183","RF-04: Checkout exitoso","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P0 > Tests con sesión","web/P0.spec.ts","",""
"","105","DELETE verifyLogin → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","18447","RF-07: Eliminar producto del carrito","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","178","POST verifyLoginWithouyEmail","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","7066","RF-09: Review a un producto","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P2","web/P2.spec.ts","",""
"","112","POST verifyLoginValid","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","104","PUT brandsList → 405","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","12983","RF-05: Modificar cantidad de producto y validar total","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1 > Test con sesión","web/P1.spec.ts","",""
"","126","DELETE validAccount","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
"","8691","RF-08: Validaciones de formulario en login/registro","WEB-Automation","2025-12-15","passed","2025-12-15","Suite P1","web/P1.spec.ts","",""
"","109","GET emailNotExists","API-Automation","2025-12-15","passed","2025-12-15","","P1 — API","",""
"","126","POST searchValidProduct","API-Automation","2025-12-15","passed","2025-12-15","","P0 — API","",""
